filepath,layer,language,frequency
5shot_czech_arabic_predictions.csv,16,ces,1.6583000000000003
5shot_czech_arabic_predictions.csv,17,eng,50.64880000000006
5shot_czech_arabic_predictions.csv,17,ara,0.5974
5shot_czech_arabic_predictions.csv,17,ces,0.8699999999999993
5shot_czech_arabic_predictions.csv,18,eng,105.49679999999985
5shot_czech_arabic_predictions.csv,18,ara,0.5903
5shot_czech_arabic_predictions.csv,18,ces,1.5804000000000007
5shot_czech_arabic_predictions.csv,19,eng,272.4937999999997
5shot_czech_arabic_predictions.csv,19,ara,2.0245000000000006
5shot_czech_arabic_predictions.csv,19,ces,1.4274999999999982
5shot_czech_arabic_predictions.csv,20,eng,415.7141000000006
5shot_czech_arabic_predictions.csv,20,ara,1.2962
5shot_czech_arabic_predictions.csv,20,ces,3.795600000000001
5shot_czech_arabic_predictions.csv,21,eng,567.8423999999997
5shot_czech_arabic_predictions.csv,21,ara,1.6065
5shot_czech_arabic_predictions.csv,21,ces,3.307399999999999
5shot_czech_arabic_predictions.csv,22,eng,583.9756999999985
5shot_czech_arabic_predictions.csv,22,ara,2.970199999999999
5shot_czech_arabic_predictions.csv,22,ces,3.8596999999999984
5shot_czech_arabic_predictions.csv,23,eng,578.6366999999991
5shot_czech_arabic_predictions.csv,23,ara,3.1114000000000006
5shot_czech_arabic_predictions.csv,23,ces,6.932400000000004
5shot_czech_arabic_predictions.csv,24,eng,541.4109999999987
5shot_czech_arabic_predictions.csv,24,ara,15.773300000000004
5shot_czech_arabic_predictions.csv,24,ces,8.604499999999996
5shot_czech_arabic_predictions.csv,25,ara,76.47139999999986
5shot_czech_arabic_predictions.csv,25,eng,410.0240000000001
5shot_czech_arabic_predictions.csv,25,ces,10.728
5shot_czech_arabic_predictions.csv,26,ara,157.60809999999984
5shot_czech_arabic_predictions.csv,26,eng,303.243400000001
5shot_czech_arabic_predictions.csv,26,ces,14.830700000000004
5shot_czech_arabic_predictions.csv,27,ara,266.2717000000003
5shot_czech_arabic_predictions.csv,27,eng,152.30599999999995
